,period,region,technology,cost
0,1990,CAZ,Bus_tmp_vehicletype,0.11132957619863901
1,2005,CAZ,Bus_tmp_vehicletype,0.11263452723809698
2,2010,CAZ,Bus_tmp_vehicletype,0.11362154237992501
3,2015,CAZ,Bus_tmp_vehicletype,0.114393901756846
4,2020,CAZ,Bus_tmp_vehicletype,0.114697010440385
5,2025,CAZ,Bus_tmp_vehicletype,0.0955183223336174
6,2030,CAZ,Bus_tmp_vehicletype,0.0761836813497315
7,2035,CAZ,Bus_tmp_vehicletype,0.0762403739749895
8,2040,CAZ,Bus_tmp_vehicletype,0.0762874937447324
9,2045,CAZ,Bus_tmp_vehicletype,0.0763865232345177
10,2050,CAZ,Bus_tmp_vehicletype,0.0764933727233677
11,2055,CAZ,Bus_tmp_vehicletype,0.0766325840721594
12,2060,CAZ,Bus_tmp_vehicletype,0.0767698133076399
13,2070,CAZ,Bus_tmp_vehicletype,0.0769256364338919
14,2080,CAZ,Bus_tmp_vehicletype,0.0769601002495678
15,2090,CAZ,Bus_tmp_vehicletype,0.0769405630185464
16,2100,CAZ,Bus_tmp_vehicletype,0.0768935905216803
17,1990,CAZ,Bus_tmp_vehicletype,0.11132957619863901
18,2005,CAZ,Bus_tmp_vehicletype,0.11263452723809698
19,2010,CAZ,Bus_tmp_vehicletype,0.11362154237992501
20,2015,CAZ,Bus_tmp_vehicletype,0.114393901756846
21,2020,CAZ,Bus_tmp_vehicletype,0.114697010440385
22,2025,CAZ,Bus_tmp_vehicletype,0.0955183223336174
23,2030,CAZ,Bus_tmp_vehicletype,0.0761836813497315
24,2035,CAZ,Bus_tmp_vehicletype,0.0762403739749895
25,2040,CAZ,Bus_tmp_vehicletype,0.0762874937447324
26,2045,CAZ,Bus_tmp_vehicletype,0.0763865232345177
27,2050,CAZ,Bus_tmp_vehicletype,0.0764933727233677
28,2055,CAZ,Bus_tmp_vehicletype,0.0766325840721594
29,2060,CAZ,Bus_tmp_vehicletype,0.0767698133076399
30,2070,CAZ,Bus_tmp_vehicletype,0.0769256364338919
31,2080,CAZ,Bus_tmp_vehicletype,0.0769601002495678
